,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,S.No. ,Controller,Product,Resources,Sub resource/Action,External/Internal,UI Page,Description,Method,Query Parameter,Path Variable,Request Body,URL,Response Status,Sample successful Response
51,51,51,51,51,51,51,51,51,51,52.0,,,users,jobs,,,To get a specific job details with jobid,GET,,jobId,NA,/api/v1/jobs/{jobId},200,"{
  ""createdBy"": ""string"",
  ""createdTs"": ""2022-09-30T04:48:46.165Z"",
  ""isActive"": true,
  ""isCompanyNameHidden"": true,
  ""isSalaryHidden"": true,
  ""jdLink"": ""string"",
  ""jobApplicantCount"": 0,
  ""jobCtcCurrency"": ""string"",
  ""jobDescription"": ""string"",
  ""jobDomain"": ""string"",
  ""jobEsopAcceptance"": true,
  ""jobId"": ""string"",
  ""jobImageLink"": ""string"",
  ""jobIndustryCategory"": ""string"",
  ""jobKeywords"": ""string"",
  ""jobLocation"": ""string"",
  ""jobMaxCtcRange"": 0,
  ""jobMaxYoe"": 0,
  ""jobMinCtcRange"": 0,
  ""jobMinYoe"": 0,
  ""jobMusthave"": ""string"",
  ""jobNoticePeriodAcceptable"": ""string"",
  ""jobNumberOfVacancies"": 0,
  ""jobPostedBy"": ""string"",
  ""jobPriority"": ""string"",
  ""jobRounds"": ""string"",
  ""jobScreeningQuestions"": ""string"",
  ""jobSkills"": ""string"",
  ""jobTitle"": ""string"",
  ""jobType"": ""string"",
  ""otherTags"": ""string"",
  ""partner"": {
    ""createdBy"": ""string"",
    ""createdTs"": ""2022-09-30T04:48:46.165Z"",
    ""partnerDescription"": ""string"",
    ""partnerEstablishmentDate"": ""string"",
    ""partnerId"": ""string"",
    ""partnerIndustry"": ""string"",
    ""partnerLogoPath"": ""string"",
    ""partnerName"": ""string"",
    ""partnerSocialLinks"": ""string"",
    ""partnerType"": ""string"",
    ""updatedBy"": ""string"",
    ""updatedTs"": ""2022-09-30T04:48:46.165Z""
  },
  ""partnerId"": ""string"",
  ""partnerName"": ""string"",
  ""updatedBy"": ""string"",
  ""updatedTs"": ""2022-09-30T04:48:46.165Z""
}"
52,52,52,52,52,52,52,52,52,52,53.0,,,users,jobs,,,To update job status,PATCH,,jobId,NA,/api/v1/jobs/{jobId},200,NA
53,53,53,53,53,53,53,53,53,53,54.0,,,users,jobs,,,To edit already posted job,PUT,,jobId,"{
  ""createdBy"": ""string"",
  ""createdTs"": ""2022-09-30T04:48:46.116Z"",
  ""isActive"": true,
  ""isCompanyNameHidden"": true,
  ""isSalaryHidden"": true,
  ""jdLink"": ""string"",
  ""jobApplicantCount"": 0,
  ""jobCtcCurrency"": ""string"",
  ""jobDescription"": ""string"",
  ""jobDomain"": ""string"",
  ""jobEsopAcceptance"": true,
  ""jobId"": ""eefe9b05-5d89-4901-aae0-f94f9f3ce10a"",
  ""jobImageLink"": ""string"",
  ""jobIndustryCategory"": ""string"",
  ""jobKeywords"": ""string"",
  ""jobLocation"": ""string"",
  ""jobMaxCtcRange"": 0,
  ""jobMaxYoe"": 0,
  ""jobMinCtcRange"": 0,
  ""jobMinYoe"": 0,
  ""jobMusthave"": ""string"",
  ""jobNoticePeriodAcceptable"": ""string"",
  ""jobNumberOfVacancies"": 0,
  ""jobPostedBy"": ""string"",
  ""jobPriority"": ""string"",
  ""jobRounds"": ""string"",
  ""jobScreeningQuestions"": ""string"",
  ""jobSkills"": ""string"",
  ""jobTitle"": ""string"",
  ""jobType"": ""string"",
  ""otherTags"": ""string"",
  ""partner"": {
    ""createdBy"": ""string"",
    ""createdTs"": ""2022-09-30T04:48:46.116Z"",
    ""partnerDescription"": ""string"",
    ""partnerEstablishmentDate"": ""string"",
    ""partnerId"": ""string"",
    ""partnerIndustry"": ""string"",
    ""partnerLogoPath"": ""string"",
    ""partnerName"": ""string"",
    ""partnerSocialLinks"": ""string"",
    ""partnerType"": ""string"",
    ""updatedBy"": ""string"",
    ""updatedTs"": ""2022-09-30T04:48:46.116Z""
  },
  ""partnerId"": ""string"",
  ""partnerName"": ""string"",
  ""updatedBy"": ""string"",
  ""updatedTs"": ""2022-09-30T04:48:46.116Z""
}",/api/v1/jobs/{jobId},200,NA
54,54,54,54,54,54,54,54,54,54,55.0,,,users,jobs,,,To activate a job,PUT,,"action,jobId",NA,/api/v1/jobs/{jobId}/activate/{action},200,TRUE
55,55,55,55,55,55,55,55,55,55,56.0,,,users,jobs,,,To check if a user has registered for a job,GET,uId,jobId,NA,/api/v1/jobs/{jobId}/applications,200,TRUE
56,56,56,56,56,56,56,56,56,56,57.0,,,users,jobs,,,To get total number of views on a job-tbd,GET,uId,jobId,NA,/api/v1/jobs/{jobId}/views,200,"{
  ""data"": [],
  ""count"": 0
}"
57,57,57,57,57,57,57,57,57,57,58.0,SquadController,,users,squad,,,To fetch applications for squad program,GET,"query,squadId",,NA,/api/v1/squad,200,NA
58,58,58,58,58,58,58,58,58,58,59.0,,,users,squad,,,To register for squad program,POST,,,"{
  ""content"": ""string"",
  ""createdby"": ""string"",
  ""createdts"": ""2022-09-30T04:48:46.117Z"",
  ""description"": ""string"",
  ""domain"": ""string"",
  ""endDate"": ""2022-09-30T04:48:46.117Z"",
  ""logoPath"": ""string"",
  ""managers"": ""string"",
  ""modeOfDelivery"": ""string"",
  ""numberOfDays"": 0,
  ""oneLiner"": ""string"",
  ""price"": ""string"",
  ""registrationLink"": ""string"",
  ""squadId"": ""string"",
  ""squadName"": ""string"",
  ""startDate"": ""2022-09-30T04:48:46.117Z"",
  ""tags"": ""string"",
  ""technology"": ""string"",
  ""updatedby"": ""string"",
  ""updatedts"": ""2022-09-30T04:48:46.118Z""
}",/api/v1/squad,200,"{
  ""msg"": ""Registered successfully. Welcome to Squad.""
}"
59,59,59,59,59,59,59,59,59,59,60.0,UploadController,,users,upload,,,To help users upload files for hackathon submissions,POST,"drillId,file,participantId,solutionType,teamId,theme",,NA,/api/v1/uploadFiles,200,NA
60,60,60,60,60,60,60,60,60,60,61.0,ContactUsController,,users,contact,,,To get contact details of user,GET,,,NA,/api/v1/contactus,200,[]
61,61,61,61,61,61,61,61,61,61,62.0,,,users,contact,,,To post contact details of users,POST,,,"{
  ""contact"": ""string"",
  ""createdby"": ""string"",
  ""createdts"": ""2022-09-30T04:48:46.110Z"",
  ""email"": ""string"",
  ""message"": ""string"",
  ""purposeToConnect"": ""string"",
  ""queryId"": 0,
  ""senderFullName"": ""string"",
  ""visible"": true
}",/api/v1/contactus,200,"{
  ""contact"": ""string"",
  ""createdby"": ""string"",
  ""createdts"": ""2022-09-30T04:48:46.110Z"",
  ""email"": ""string"",
  ""message"": ""string"",
  ""purposeToConnect"": ""string"",
  ""queryId"": 0,
  ""senderFullName"": ""string"",
  ""visible"": true
}"
62,62,62,62,62,62,62,62,62,62,63.0,,,users,contact,,,To delete contact details of users,DELETE,id,action,NA,/api/v1/contactus/{action},200,NA
63,63,63,63,63,63,63,63,63,63,64.0,CertificateGeneratorController,,users,certificate,,,To save certificate details,POST,,,"{
  ""certificateUrl"": ""string"",
  ""email"": ""string"",
  ""eventId"": ""string"",
  ""eventType"": ""string"",
  ""positionType"": ""string""
}",/api/v1/certificates,200,"{
  ""msg"": ""Certificate details saved successfully""
}"
64,64,64,64,64,64,64,64,64,64,65.0,EventController,,,event,,,To delete an event,DELETE,,,"[
  {
    ""address"": ""string"",
    ""agenda"": ""string"",
    ""endDateTime"": ""string"",
    ""eventCreatedby"": ""string"",
    ""eventId"": 0,
    ""eventUpdatedby"": ""string"",
    ""eventUpdatedts"": ""2022-09-30"",
    ""location"": ""string"",
    ""mode"": ""string"",
    ""owner"": ""string"",
    ""speaker"": ""string"",
    ""startDateTime"": ""string"",
    ""status"": ""string"",
    ""topic"": ""string"",
    ""type"": ""string""
  }
]",/api/v1/events,200,NA
65,65,65,65,65,65,65,65,65,65,66.0,,,users,event,,,To get event details ,GET,eventId,,NA,/api/v1/events,200,"[
  {
    ""address"": ""string"",
    ""agenda"": ""string"",
    ""endDateTime"": ""string"",
    ""eventCreatedby"": ""string"",
    ""eventCreatedts"": ""2022-09-30T11:24:51.746Z"",
    ""eventId"": 0,
    ""eventUpdatedby"": ""string"",
    ""eventUpdatedts"": ""2022-09-30T11:24:51.746Z"",
    ""location"": ""string"",
    ""mode"": ""string"",
    ""owner"": ""string"",
    ""speaker"": ""string"",
    ""startDateTime"": ""string"",
    ""status"": ""string"",
    ""topic"": ""string"",
    ""type"": ""string""
  }
]"
66,66,66,66,66,66,66,66,66,66,67.0,,,,event,,,To add/update events,POST,,,"{
  ""address"": ""string"",
  ""agenda"": ""string"",
  ""endDateTime"": ""string"",
  ""eventCreatedby"": ""string"",
  ""eventId"": 0,
  ""eventUpdatedby"": ""string"",
  ""eventUpdatedts"": ""2022-09-30"",
  ""location"": ""string"",
  ""mode"": ""string"",
  ""owner"": ""string"",
  ""speaker"": ""string"",
  ""startDateTime"": ""string"",
  ""status"": ""string"",
  ""topic"": ""string"",
  ""type"": ""string""
}",/api/v1/events,200,1
67,67,67,67,67,67,67,67,67,67,68.0,,,,event,,,To update events,PUT,,,"[
  {
    ""address"": ""string"",
    ""agenda"": ""string"",
    ""endDateTime"": ""string"",
    ""eventCreatedby"": ""string"",
    ""eventId"": 0,
    ""eventUpdatedby"": ""string"",
    ""eventUpdatedts"": ""2022-09-30"",
    ""location"": ""string"",
    ""mode"": ""string"",
    ""owner"": ""string"",
    ""speaker"": ""string"",
    ""startDateTime"": ""string"",
    ""status"": ""string"",
    ""topic"": ""string"",
    ""type"": ""string""
  }
]",/api/v1/events,200,SUCCESS
68,68,68,68,68,68,68,68,68,68,69.0,,,,,,,,,,,NA,,,NA
69,69,69,69,69,69,69,69,69,69,70.0,ApplicationController,,users,,,,To fetch application status for a job for a particular uId,GET,"jobId,uId",,NA,/api/v1/jobs/application,200,"[
  {
    ""applicationId"": 0,
    ""appliedTs"": ""2022-09-30T11:24:51.803Z"",
    ""createdby"": ""string"",
    ""createdts"": ""2022-09-30T11:24:51.803Z"",
    ""currentStatus"": ""string"",
    ""jobId"": ""string"",
    ""uid"": ""string"",
    ""updatedby"": ""string"",
    ""updatedts"": ""2022-09-30T11:24:51.803Z""
  }
]
"
70,70,70,70,70,70,70,70,70,70,71.0,,,users,,,,To apply for a job,POST,,,"{
  ""applicationId"": 0,
  ""appliedTs"": ""2022-09-30T11:24:51.492Z"",
  ""createdBy"": ""string"",
  ""createdTs"": ""2022-09-30T11:24:51.492Z"",
  ""currentStatus"": ""string"",
  ""jobId"": ""string"",
  ""uid"": ""string"",
  ""updatedBy"": ""string"",
  ""updatedTs"": ""2022-09-30T11:24:51.492Z""
}",/api/v1/jobs/application,200,NA
71,71,71,71,71,71,71,71,71,71,72.0,,,users,,,,To filter applications for a job ,GET,filter,,NA,/api/v1/jobs/application/filter,200,"[
  {
    ""applicationId"": 0,
    ""applicationTrackId"": 0,
    ""feedback"": ""string"",
    ""status"": ""string"",
    ""updatedby"": ""string"",
    ""updatedts"": ""2022-09-30T11:24:51.810Z""
  }
]"
72,72,72,72,72,72,72,72,72,72,73.0,,,users,,,,"To get the number of jobs applied to,applications pending,offers closed and interviews pending for a user",GET,uId,,NA,/api/v1/jobs/application/stats,200,"{
  ""applicationPending"": 0,
  ""offersClosed"": 0,
  ""jobApplied"": 0,
  ""interviewsPending"": 0
}"
73,73,73,73,73,73,73,73,73,73,74.0,,,users,,,,To get the status of all job listings available for a user-tbd,GET,,,NA,/api/v1/jobs/application/statusenum,200,"[
  {
    ""order"": ""1"",
    ""status"": ""APPLIED""
  },
  {
    ""order"": ""2"",
    ""status"": ""SHORTLISTED""
  },
  {
    ""order"": ""3"",
    ""status"": ""APPLICATION SENT""
  }]"
74,74,74,74,74,74,74,74,74,74,75.0,,,,,,,To get a specific application for one job,GET,jobId,applicationId,NA,/api/v1/jobs/application/{applicationId},200,NA
75,75,75,75,75,75,75,75,75,75,76.0,,,,,,,To update application status,PUT,applicationId,,payload,/api/v1/jobs/application/{applicationId},201,NA
76,76,76,76,76,76,76,76,76,76,77.0,,,,,,,To get complete applications for a job,GET,"jobId,uId",,NA,/api/v1/jobs/completeapplication,200,"[
  {
    ""applicationId"": 0,
    ""appliedTs"": ""2022-09-30T11:24:51.823Z"",
    ""createdBy"": ""string"",
    ""createdTs"": ""2022-09-30T11:24:51.823Z"",
    ""currentStatus"": ""string"",
    ""jobId"": ""string"",
    ""jobImg"": ""string"",
    ""jobTitle"": ""string"",
    ""partnerName"": ""string"",
    ""resumeLink"": ""string"",
    ""updatedBy"": ""string"",
    ""updatedTs"": ""2022-09-30T11:24:51.823Z"",
    ""userFullName"": ""string"",
    ""userId"": ""string""
  }
]"
77,77,77,77,77,77,77,77,77,77,78.0,NotificationController,,,,,,To add/update a notification,POST,,,"{
  ""createdby"": ""string"",
  ""createdts"": ""2022-09-30T11:24:51.493Z"",
  ""message"": ""string"",
  ""notificationId"": 0,
  ""notificationType"": ""string"",
  ""oneLiner"": ""string"",
  ""read"": true,
  ""receiverUid"": ""string"",
  ""senderUid"": ""string"",
  ""updatedby"": ""string"",
  ""updatedts"": ""2022-09-30T11:24:51.493Z""
}",/api/v1/notification,200,"{""msg"":""{msg=Successful request}""}"
78,78,78,78,78,78,78,78,78,78,79.0,,,,,,,To fetch only particular type of notifications,GET,messageType,,NA,/api/v1/notification/,200,NA
79,79,79,79,79,79,79,79,79,79,80.0,,,,,,,To get list of notifications-tbd,PUT,,action,"{
  ""createdby"": ""string"",
  ""createdts"": ""2022-09-30T11:24:51.494Z"",
  ""message"": ""string"",
  ""notificationId"": 0,
  ""notificationType"": ""string"",
  ""oneLiner"": ""string"",
  ""read"": true,
  ""receiverUid"": ""string"",
  ""senderUid"": ""string"",
  ""updatedby"": ""string"",
  ""updatedts"": ""2022-09-30T11:24:51.494Z""
}",/api/v1/notification/{action},200,"{
  ""msg"": ""All notifications read successfully""
}"
80,80,80,80,80,80,80,80,80,80,81.0,,,,,,,To get list of notifications for a user/receiver,GET,,receiverUid,NA,/api/v1/notification/{receiverUid},200,"{
  ""data"": [],
  ""count"": 0
}"
81,81,81,81,81,81,81,81,81,81,82.0,PartnerController,,,,,,To get partner details,GET,"mode,partnerId",,NA,/api/v1/partners,200,"[
  {
    ""createdBy"": ""string"",
    ""createdTs"": ""2022-10-01T04:39:54.900Z"",
    ""partnerDescription"": ""string"",
    ""partnerEstablishmentDate"": ""string"",
    ""partnerId"": ""string"",
    ""partnerIndustry"": ""string"",
    ""partnerLogoPath"": ""string"",
    ""partnerName"": ""string"",
    ""partnerSocialLinks"": ""string"",
    ""partnerType"": ""string"",
    ""updatedBy"": ""string"",
    ""updatedTs"": ""2022-10-01T04:39:54.900Z""
  }
]"
82,82,82,82,82,82,82,82,82,82,83.0,,,,,,,To save partner details,POST,,,"{
  ""createdBy"": ""string"",
  ""createdTs"": ""2022-10-01T04:39:54.739Z"",
  ""partnerDescription"": ""string"",
  ""partnerEstablishmentDate"": ""string"",
  ""partnerId"": ""string"",
  ""partnerIndustry"": ""string"",
  ""partnerLogoPath"": ""string"",
  ""partnerName"": ""string"",
  ""partnerSocialLinks"": ""string"",
  ""partnerType"": ""string"",
  ""updatedBy"": ""string"",
  ""updatedTs"": ""2022-10-01T04:39:54.739Z""
}",/api/v1/partners,201,"{
  ""partnerId"": ""a8030704-abab-46f5-845e-b2d40aedc96f"",
  ""partnerName"": ""string"",
  ""partnerDescription"": ""string"",
  ""partnerSocialLinks"": ""string"",
  ""partnerType"": ""string"",
  ""partnerIndustry"": ""string"",
  ""partnerEstablishmentDate"": ""string"",
  ""partnerLogoPath"": ""string"",
  ""createdTs"": ""2022-10-01T04:39:54.739+00:00"",
  ""updatedTs"": ""2022-10-01T04:39:54.739+00:00"",
  ""createdBy"": ""string"",
  ""updatedBy"": ""string""
}"
83,83,83,83,83,83,83,83,83,83,84.0,,,,,,,To update patners details,PUT,,partnerId,"{
  ""createdBy"": ""string"",
  ""createdTs"": ""2022-10-01T04:39:54.739Z"",
  ""partnerDescription"": ""string"",
  ""partnerEstablishmentDate"": ""string"",
  ""partnerId"": ""a8030704-abab-46f5-845e-b2d40aedc96f"",
  ""partnerIndustry"": ""string"",
  ""partnerLogoPath"": ""string"",
  ""partnerName"": ""string"",
  ""partnerSocialLinks"": ""string"",
  ""partnerType"": ""string"",
  ""updatedBy"": ""string"",
  ""updatedTs"": ""2022-10-01T04:39:54.739Z""
}",/api/v1/partners/{partnerId},200,NA
84,84,84,84,84,84,84,84,84,84,85.0,,,,,,,,,,,NA,,,NA
85,85,85,85,85,85,85,85,85,85,86.0,UserPlatformIntegrationController,,users,,,,To check if a user's profile is integrated with other platforms,GET,uId,,NA,/api/v1/platformintegration,200,"[
  {
    ""platformIntegrationId"": 0,
    ""platformName"": ""string"",
    ""profileIntegrated"": true,
    ""profileLink"": ""string"",
    ""profileVerified"": true,
    ""uid"": ""string"",
    ""userCreatedby"": ""string"",
    ""userCreatedts"": ""2022-10-01T04:39:54.904Z"",
    ""userUpdatedby"": ""string"",
    ""userUpdatedts"": ""2022-10-01T04:39:54.904Z""
  }
]"
86,86,86,86,86,86,86,86,86,86,87.0,,,users,,,,To add/update platform integration details,POST,,,"{
  ""platformIntegrationId"": 0,
  ""platformName"": ""string"",
  ""profileIntegrated"": true,
  ""profileLink"": ""string"",
  ""profileVerified"": true,
  ""uid"": ""string"",
  ""userCreatedby"": ""string"",
  ""userCreatedts"": ""2022-10-01T04:39:54.739Z"",
  ""userUpdatedby"": ""string"",
  ""userUpdatedts"": ""2022-10-01T04:39:54.739Z""
}",/api/v1/platformintegration,200,"{
  ""platformIntegrationId"": 1,
  ""platformName"": ""string"",
  ""profileLink"": ""string"",
  ""profileVerified"": true,
  ""userCreatedby"": ""string"",
  ""userCreatedts"": ""2022-10-01T07:18:52.252+00:00"",
  ""userUpdatedby"": ""string"",
  ""userUpdatedts"": ""2022-10-01T07:18:52.252+00:00"",
  ""profileIntegrated"": true,
  ""uid"": ""8af2b4c5-6bb5-4985-b557-abbec4a5a4b7""
}"
87,87,87,87,87,87,87,87,87,87,88.0,SkillsLookupController,,,,,,To delete skills,DELETE,skillLookupId,,NA,/api/v1/skills/,200,NA
88,88,88,88,88,88,88,88,88,88,89.0,,,,,,,To fetch skills,GET,initialLetters,,NA,/api/v1/skills/,200,"[
  ""string""
]"
89,89,89,89,89,89,89,89,89,89,90.0,,,,,,,To add/update a new skill,POST,,,"{
  ""createdby"": ""string"",
  ""createdts"": ""2022-10-01T04:39:54.740Z"",
  ""skillId"": 0,
  ""skillName"": ""string"",
  ""skillTags"": ""string"",
  ""updatedby"": ""string"",
  ""updatedts"": ""2022-10-01T04:39:54.740Z""
}",/api/v1/skills/,200,Skill saved/updated successfully
90,90,90,90,90,90,90,90,90,90,91.0,StatsController,,,,,,To get statistics,GET,rangeToFetch,,NA,/api/v1/stats,200,"[
  {
    ""joiningsDone"": 0,
    ""numberOfColleges"": 0,
    ""numberOfFresherDrives"": 0,
    ""numberOfFresherHired"": 0,
    ""numberOfFreshersUsers"": 0,
    ""numberOfHackathons"": 0,
    ""numberOfInternsHired"": 0,
    ""numberOfJobPosted"": 0,
    ""numberOfPartners"": 0,
    ""numberOfProfessionalsUsers"": 0,
    ""numberOfSquadPrograms"": 0,
    ""numberOfStudentsInSquad"": 0,
    ""numberOfUsersOnPlatform"": 0,
    ""numberOfmeetups"": 0,
    ""recordInsertedts"": ""2022-10-01T04:39:54.915Z"",
    ""statsId"": 0,
    ""userUpdatedby"": ""string""
  }
]"
91,91,91,91,91,91,91,91,91,91,92.0,,,,,,,tbd,GET,,,NA,/api/v1/stats/cumulative,200,"{
  ""numberOfActiveJobs"": ""0"",
  ""numberOfUsers"": ""1"",
  ""numberofJobViews"": ""1"",
  ""numberOfJobs"": ""0"",
  ""numberofSiteViews"": ""0""
}"
92,92,92,92,92,92,92,92,92,92,93.0,,,,,,,To get list of participants in hackathons,GET,,,NA,/api/v1/stats/drills/participants,200,"{
  ""data"": [],
  ""countOfDrillParticipants"": 0,
  ""countOfUserNotInDrill"": 0
}"
93,93,93,93,93,93,93,93,93,93,94.0,,,,,,,To get platform statistics,GET,pageName,,NA,/api/v1/stats/landingpage,200,"{
  ""joiningsDone"": 0,
  ""numberOfColleges"": 0,
  ""numberOfFresherDrives"": 0,
  ""numberOfFresherHired"": 0,
  ""numberOfFreshersUsers"": 0,
  ""numberOfHackathons"": 0,
  ""numberOfInternsHired"": 0,
  ""numberOfJobPosted"": 0,
  ""numberOfPartners"": 0,
  ""numberOfProfessionalsUsers"": 0,
  ""numberOfSquadPrograms"": 0,
  ""numberOfStudentsInSquad"": 0,
  ""numberOfUsersOnPlatform"": 0,
  ""numberOfmeetups"": 0,
  ""recordInsertedts"": ""2022-10-01T04:39:54.917Z"",
  ""statsId"": 0,
  ""userUpdatedby"": ""string""
}"
94,94,94,94,94,94,94,94,94,94,95.0,,,,,,,,,,,NA,,,NA
95,95,95,95,95,95,95,95,95,95,96.0,,,,,,,To save platform statistics,POST,,,"{
  ""joiningsDone"": 0,
  ""numberOfColleges"": 0,
  ""numberOfFresherDrives"": 0,
  ""numberOfFresherHired"": 0,
  ""numberOfFreshersUsers"": 0,
  ""numberOfHackathons"": 0,
  ""numberOfInternsHired"": 0,
  ""numberOfJobPosted"": 0,
  ""numberOfPartners"": 0,
  ""numberOfProfessionalsUsers"": 0,
  ""numberOfSquadPrograms"": 0,
  ""numberOfStudentsInSquad"": 0,
  ""numberOfUsersOnPlatform"": 0,
  ""numberOfmeetups"": 0,
  ""recordInsertedts"": ""2022-10-01T04:39:54.740Z"",
  ""statsId"": 0,
  ""userUpdatedby"": ""string""
}",/api/v1/stats/landingpage,200,TRUE
96,96,96,96,96,96,96,96,96,96,97.0,SubscriptionController,,,,,,To get subscriptions,GET,,,NA,/api/v1/subscription,200,"[
  {
    ""active"": true,
    ""component"": ""string"",
    ""componentId"": ""string"",
    ""createdby"": ""string"",
    ""createdts"": ""2022-10-01T04:39:54.920Z"",
    ""subscriptionEndDt"": ""2022-10-01T04:39:54.920Z"",
    ""subscriptionId"": ""string"",
    ""subscriptionStartDt"": ""2022-10-01T04:39:54.920Z"",
    ""uid"": ""string"",
    ""unsubscribtionDt"": ""2022-10-01T04:39:54.920Z"",
    ""updatedBy"": ""string"",
    ""updatedTs"": ""2022-10-01T04:39:54.920Z""
  }
]"
97,97,97,97,97,97,97,97,97,97,98.0,,,,,,,To add/update subscriptions,POST,,,"{
  ""active"": true,
  ""component"": ""string"",
  ""componentId"": ""string"",
  ""createdby"": ""string"",
  ""createdts"": ""2022-10-01T04:39:54.740Z"",
  ""subscriptionEndDt"": ""2022-10-01T04:39:54.740Z"",
  ""subscriptionId"": ""string"",
  ""subscriptionStartDt"": ""2022-10-01T04:39:54.740Z"",
  ""uid"": ""string"",
  ""unsubscribtionDt"": ""2022-10-01T04:39:54.740Z"",
  ""updatedBy"": ""string"",
  ""updatedTs"": ""2022-10-01T04:39:54.740Z""
}",/api/v1/subscription,200,"{
  ""active"": true,
  ""component"": ""string"",
  ""componentId"": ""string"",
  ""createdby"": ""string"",
  ""createdts"": ""2022-10-01T04:39:54.740Z"",
  ""subscriptionEndDt"": ""2022-10-01T04:39:54.740Z"",
  ""subscriptionId"": ""string"",
  ""subscriptionStartDt"": ""2022-10-01T04:39:54.740Z"",
  ""uid"": ""string"",
  ""unsubscribtionDt"": ""2022-10-01T04:39:54.740Z"",
  ""updatedBy"": ""string"",
  ""updatedTs"": ""2022-10-01T04:39:54.740Z""
}"
98,98,98,98,98,98,98,98,98,98,99.0,,,,,,,To delete subscription,DELETE,,subscriptionId,NA,/api/v1/subscription/{subscriptionId},200,Deleted Successfully
99,99,99,99,99,99,99,99,99,99,100.0,,,,,,,To update a subscription,PUT,,"subscriptionId,action",NA,/api/v1/subscription/{subscriptionId}/{action},200,NA
100,100,100,100,100,100,100,100,100,100,101.0,TestimonialController,,,,,,To delete testimonials,DELETE,id,,NA,/api/v1/testimonial,200,NA
101,101,101,101,101,101,101,101,101,101,102.0,,,,,,,To get testimonials,GET,,,NA,/api/v1/testimonial,200,"[
  {
    ""postedByUserDesignation"": ""string"",
    ""postedByUsername"": ""string"",
    ""postedContent"": ""string"",
    ""postedDate"": ""2022-10-01T04:39:54.925Z"",
    ""recordInsertedts"": ""2022-10-01T04:39:54.925Z"",
    ""testimonialPostId"": 0,
    ""userUpdatedby"": ""string""
  }
]"
102,102,102,102,102,102,102,102,102,102,103.0,,,,,,,To add/update testimonials,POST,,,"{
  ""postedByUserDesignation"": ""string"",
  ""postedByUsername"": ""string"",
  ""postedContent"": ""string"",
  ""postedDate"": ""2022-10-01T04:39:54.740Z"",
  ""recordInsertedts"": ""2022-10-01T04:39:54.740Z"",
  ""testimonialPostId"": 0,
  ""userUpdatedby"": ""string""
}",/api/v1/testimonial,200,"{
  ""testimonialPostId"": 1,
  ""postedDate"": ""2022-10-01T04:39:54.740+00:00"",
  ""postedByUsername"": ""string"",
  ""postedByUserDesignation"": ""string"",
  ""postedContent"": ""string"",
  ""userUpdatedby"": ""string"",
  ""recordInsertedts"": ""2022-10-01T12:01:28.843+00:00""
}"
103,103,103,103,103,103,103,103,103,103,104.0,CommonController,,users,,,,To get college details,GET,,,NA,/api/v1/common/college,200,"{
  ""college"": [
    ""{id=1, college=string, tags=string,m,n,o,p, createdts=2022-09-26 13:47:30.847, updatedts=2022-09-26 13:47:30.847, createdby=string, updatedby=string}"",
    ""{id=2, college=string, tags=string, createdts=2022-09-28 11:54:30.374, updatedts=2022-09-28 11:54:30.374, createdby=string, updatedby=string}""
  ]
}"
104,104,104,104,104,104,104,104,104,104,105.0,,,users,,,,To add/update college details,POST,,,"{
  ""college"": ""string"",
  ""createdby"": ""string"",
  ""createdts"": ""2022-10-01T04:39:54.731Z"",
  ""id"": 0,
  ""tags"": ""string"",
  ""updatedby"": ""string"",
  ""updatedts"": ""2022-10-01T04:39:54.731Z""
}",/api/v1/common/college,200,"{
  ""id"": 3,
  ""college"": ""string"",
  ""tags"": ""string"",
  ""createdts"": ""2022-10-01T12:37:08.117+00:00"",
  ""updatedts"": ""2022-10-01T12:37:08.117+00:00"",
  ""createdby"": ""string"",
  ""updatedby"": ""string""
}"
105,105,105,105,105,105,105,105,105,105,106.0,,,users,,,,To get company details,GET,,,NA,/api/v1/common/company,200,"{
  ""company"": [
    ""{id=1, company=string, tags=string, createdts=2022-09-26 13:48:10.215, updatedts=2022-09-26 13:48:10.215, createdby=string, updatedby=string,p,q,r}""
  ]
}"
106,106,106,106,106,106,106,106,106,106,107.0,,,users,,,,To add/update company details,POST,,,"{
  ""company"": ""string"",
  ""createdby"": ""string"",
  ""createdts"": ""2022-10-01T04:39:54.731Z"",
  ""id"": 0,
  ""tags"": ""string"",
  ""updatedby"": ""string"",
  ""updatedts"": ""2022-10-01T04:39:54.731Z""
}",/api/v1/common/company,200,"{
  ""id"": 2,
  ""company"": ""string"",
  ""tags"": ""string"",
  ""createdts"": ""2022-10-01T12:39:44.161+00:00"",
  ""updatedts"": ""2022-10-01T12:39:44.161+00:00"",
  ""createdby"": ""string"",
  ""updatedby"": ""string""
}"
107,107,107,107,107,107,107,107,107,107,108.0,,,users,,,,To get job designation details,GET,,,NA,/api/v1/common/jobdesignation,200,"{
  ""job designation"": [
    ""{id=1, jobdesignation=string,b,c,d,e, tags=string, createdts=2022-09-26 13:48:37.304, updatedts=2022-09-26 13:48:37.304, createdby=string, updatedby=string}""
  ]"
